table,field,definition,data_type,unit,nullable,null_meaning,origin,source_field_or_derivation,valid_values,interpretation_warning
manual_validation_change_events.csv,new_value,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events.csv,source_url,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events.csv,machine_interpretation,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events.csv,review_status,First-review workflow state.,categorical text,,yes,Blank means not started.,reviewer,Entered under the study guide.,pending; in_progress; complete; excluded,Complete does not imply a yes outcome.
manual_validation_change_events.csv,source_change_confirmed,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_change_events.csv,semantic_change_interpretation,Study-specific human interpretation.,categorical text,,yes,Blank means not reviewed.,reviewer,Decision rules in MANUAL_VALIDATION_GUIDE.md.,Study-defined vocabulary including unknown and not_applicable.,Not a generic record-level accuracy score.
manual_validation_change_events.csv,likely_publication_artifact,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_change_events.csv,change_validation_outcome,Claim-specific human-review outcome.,categorical text,,yes,Blank means not reviewed.,reviewer,Evidence-based decision under the study guide.,yes; no; unknown; not_applicable,Applies only to the named validation claim.
manual_validation_change_events.csv,evidence_reference,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_change_events.csv,review_notes,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_change_events.csv,reviewer_code,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_change_events.csv,reviewed_at,Human-review provenance or evidence field.,text,,yes,Blank means not reviewed or unavailable.,reviewer,Entered under MANUAL_VALIDATION_GUIDE.md.,"Non-personal code, ISO timestamp, citation, or concise notes.",Do not enter personal contact data; AI output is not evidence.
manual_validation_change_events_second_review.csv,validation_sample_id,Stable identifier for one validation assignment.,text,,no,Never blank.,validation design,Deterministic ID after the seeded draw.,Study prefix plus integer.,"Identifies a review unit, not a development entity."
manual_validation_change_events_second_review.csv,study_id,Validation study governing the assignment.,categorical text,,no,Never blank.,validation design,Fixed by the study builder.,Registered study ID.,Do not combine unlike validation layers.
manual_validation_change_events_second_review.csv,protocol_version,Version of the study protocol.,text,,no,Never blank.,validation design,Fixed by the study builder.,Semantic version.,Version changes can alter inference scope.
manual_validation_change_events_second_review.csv,random_seed,Seed for deterministic pseudo-random ranking.,integer,,no,Never blank.,validation design,Explicit builder seed.,Positive integer.,Changing the seed changes assignments.
manual_validation_change_events_second_review.csv,sampling_universe_sha256,SHA-256 of sorted eligible identities and strata.,text,,no,Never blank.,sampling frame,canonical_universe_hash().,64 lowercase hexadecimal characters.,Changes when the eligible frame or strata change.
manual_validation_change_events_second_review.csv,sampling_universe_size,Eligible review units in the frozen frame.,integer,records/events,no,Never blank.,sampling frame,Count before selection.,Positive integer.,Interpret together with the universe hash.
manual_validation_change_events_second_review.csv,target_sample_size,Requested first-review sample size.,integer,assignments,no,Never blank.,validation design,Explicit builder target.,Positive integer.,Not the number already reviewed.
manual_validation_change_events_second_review.csv,sampling_stratum,Mutually exclusive design stratum.,categorical text,,no,Never blank.,sampling design,Study-specific stratum function.,Study-defined.,Use stratum weights for aggregate inference.
manual_validation_change_events_second_review.csv,stratum_population,Eligible units in this stratum.,integer,records/events,no,Never blank.,sampling frame,Count by sampling_stratum.,Positive integer.,Applies only to the frozen frame.
manual_validation_change_events_second_review.csv,stratum_sample_size,First-review assignments drawn from this stratum.,integer,assignments,no,Never blank.,sampling design,Deterministic proportional/minimum allocation.,Positive integer.,Small strata can be oversampled deliberately.
manual_validation_change_events_second_review.csv,inclusion_probability,Probability of selection within the stratum.,decimal,proportion,no,Never blank.,sampling design,stratum_sample_size / stratum_population.,Greater than 0 and at most 1.,Required for probability-based estimates.
manual_validation_change_events_second_review.csv,sampling_weight,Inverse first-review inclusion probability.,decimal,eligible units represented,no,Never blank.,sampling design,stratum_population / stratum_sample_size.,At least 1.,Unweighted totals are descriptive under disproportionate allocation.
manual_validation_change_events_second_review.csv,sample_order,Deterministic display order.,integer,,no,Never blank.,validation workflow,Sequential order after seeded selection.,Positive integer.,Not an analysis weight.
manual_validation_change_events_second_review.csv,generated_from,Repository-relative source frame used by the builder.,text,,no,Never blank.,validation provenance,Recorded by the builder.,Repository-relative path list or note.,Does not itself establish source correctness.
manual_validation_change_events_second_review.csv,change_id,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,previous_snapshot,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,current_snapshot,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,source,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,record_identity,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,source_record_id,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,detected_change_type,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,changed_fields,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,old_value,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,new_value,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,source_url,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,machine_interpretation,"Source, transformation, linkage, or change context frozen with the validation assignment.",text,,yes,Blank when the source or decision does not supply the field.,source or deterministic transformation,Copied without personal contact fields by the study builder.,Source- or study-defined.,Context is not a human validation judgment.
manual_validation_change_events_second_review.csv,second_review_assignment_id,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_review_selection_probability,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_review_sampling_weight,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_review_order,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_review_status,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_reviewer_code,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_reviewed_at,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,second_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,first_reviewer_code,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,first_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,agreement,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,adjudication_status,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,adjudicated_outcome,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_change_events_second_review.csv,adjudication_notes,Independent second-review or adjudication field.,text,,yes,Blank means the blinded workflow has not reached this step.,reviewer/adjudicator,See MANUAL_VALIDATION_GUIDE.md.,Study-defined explicit vocabulary.,Never overwrite either original reviewer judgment.
manual_validation_development_sample.csv,audit_sample_id,Identifier or metadata for the manual-validation audit row.,text,,yes,Blank until human review where applicable.,audit workflow,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Not a validation result until completed by a reviewer.
manual_validation_development_sample.csv,protocol_version,Frozen validation-protocol version governing the row.,text,,no,Never blank.,validation study design,validation_study.PROTOCOL_VERSION.,Semantic version.,Do not combine results governed by different protocol versions.
manual_validation_development_sample.csv,random_seed,Integer seed used for the reproducible pseudo-random draw.,integer,,no,Never blank.,validation study design,validation_study.RANDOM_SEED.,20260823 for protocol 1.0.0.,Changing the seed changes the sample.
manual_validation_development_sample.csv,sample_phase,Role of the row in rule development or final evaluation.,categorical text,,no,Never blank.,validation study design,Separate seeded draws.,development; holdout,Do not tune rules using holdout results.
manual_validation_development_sample.csv,sampling_stratum,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_development_sample.csv,stratum_population,Number of eligible activities in the row's mutually exclusive stratum.,integer,activities,no,Never blank.,derived sampling frame,Count after validation-study stratum assignment.,Positive integer.,Applies to the current release snapshot.
manual_validation_development_sample.csv,phase_sample_size,Number drawn from this stratum for the row's phase.,integer,activities,no,Never blank.,validation study design,Frozen phase-stratum quota.,Positive integer.,Use with stratum_population to recover inclusion probability.
manual_validation_development_sample.csv,selection_probability,Phase-specific probability of selection within the stratum.,decimal,proportion,no,Never blank.,derived sampling design,phase_sample_size / stratum_population.,Greater than 0 and at most 1.,Use phase-specific probabilities; do not combine phases for final inference.
manual_validation_development_sample.csv,sampling_weight,Inverse phase-specific selection probability.,decimal,activities represented,no,Never blank.,derived sampling design,stratum_population / phase_sample_size.,At least 1.,Needed for estimates across disproportionate strata.
manual_validation_development_sample.csv,sample_order,Stable display order within the sample phase.,integer,,no,Never blank.,validation workflow,Sequential order after the seeded draw.,Positive integer.,Not a random score and not an analysis weight.
manual_validation_development_sample.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
manual_validation_development_sample.csv,source_record_id,"Native public record or project identifier supplied by the source, when available.",text,,yes,Blank means the source supplied no usable native identifier.,source,Source-specific record ID field.,Source-defined.,May be reused or missing in source data.
manual_validation_development_sample.csv,source_memberships,Semicolon-delimited source layers contributing to the normalized activity.,text,,no,Never blank.,derived,Distinct source names linked by activity_id.,Named source layers separated by semicolons.,Membership does not establish completeness.
manual_validation_development_sample.csv,activity_class,"Normalized broad category assigned from source layer, record type, description, and reported square footage.",categorical text,,no,Never blank.,derived,Rules in scripts/build_tampa_development.py.,building_construction; demolition; other_permitted_work; planning_application; historic_preservation_application; public_capital:*; single_family_new_construction_or_addition,Classification has not yet been manually accuracy-tested.
manual_validation_development_sample.csv,activity_stage,Normalized procedural stage inferred from official status text and source type.,categorical text,,no,Never blank.,derived,Status keyword rules in classify_stage().,preconstruction_or_unknown; planning_review; permit_or_funding_approved; construction_or_inspection; completed_or_closeout; inactive,A procedural stage does not prove physical completion.
manual_validation_development_sample.csv,status,Status text reported by the source at retrieval.,text,,yes,Blank means unavailable.,source,Source-specific status field.,Source-defined.,Status semantics differ across sources.
manual_validation_development_sample.csv,physical_work_started_dataset,Dataset's pre-review claim about whether physical work started.,categorical text,,no,Never blank.,derived,Same rules as activity_truth_status.physical_work_started.,yes; no; unknown; not_applicable,"This is the claim under review, not reviewer evidence."
manual_validation_development_sample.csv,realization_evidence_grade,Legacy activity-level evidence grade retained for compatibility; use activity_truth_status.verification_grade.,categorical text,,no,Never blank.,derived,Conservative status rules; footprint and closeout signals cannot exceed D.,C; D; P; X; U,This field does not establish completion.
manual_validation_development_sample.csv,parcel_match_confidence,Highest configured confidence among City building-footprint matches.,categorical text,,yes,Blank means no match.,derived,Maximum of match_confidence using high > medium.,high; medium,Confidence is rule-based and awaits manual accuracy measurement.
manual_validation_development_sample.csv,match_methods,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_development_sample.csv,match_distances_m,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_development_sample.csv,address,Site address reported by the source.,text,,yes,Blank means unavailable.,source,ADDRESS or FULLADDRESS.,Source-defined street address.,Public but potentially sensitive; aggregate person-focused analyses.
manual_validation_development_sample.csv,neighborhood,City neighborhood label reported by the source.,text,,yes,Blank means unavailable.,source,NEIGHBORHOOD/Neighborhood.,City-defined label.,Not spatially recomputed against a boundary vintage.
manual_validation_development_sample.csv,council_district,City Council district reported by the source.,text,,yes,Blank means unavailable.,source,COUNCIL/COUNCILDISTRICT.,Source-defined district.,District boundaries and assignments can change.
manual_validation_development_sample.csv,latitude,Latitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately 27.5 to 28.3.,Vertex-average centroids can fall outside complex line/polygon features.
manual_validation_development_sample.csv,longitude,Longitude of the point feature or arithmetic centroid of the preserved source geometry.,decimal,degrees WGS84,yes,Blank means no geometry.,source/derived geometry,Point coordinate or average of geometry vertices.,Approximately -83.0 to -82.0.,Vertex-average centroids can fall outside complex line/polygon features.
manual_validation_development_sample.csv,record_type,"Permit, application, capital-project, or preservation record type reported by the source.",text,,yes,Blank means unavailable.,source,Source-specific record-type field.,Source-defined.,Not harmonized across source systems.
manual_validation_development_sample.csv,project_name,Project or application name as reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific project-name field.,Source-defined.,Names are not standardized across layers.
manual_validation_development_sample.csv,description,Free-text project description reported by the source.,text,,yes,Blank means unavailable.,source,Source-specific description field.,Source-defined.,May be incomplete or use administrative language.
manual_validation_development_sample.csv,source_url,"Public record or project-detail URL supplied by the source, when available.",URL,,yes,Blank means no record-level URL was supplied.,source,Source URL field.,HTTP(S) URL.,A URL may later move or expire.
manual_validation_development_sample.csv,review_status,Reviewer workflow state for the row.,categorical text,,yes,Blank means not started.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,in_progress; complete,Metrics require complete plus all evidence gates.
manual_validation_development_sample.csv,source_identity_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_development_sample.csv,activity_classification_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_development_sample.csv,cross_source_linkage_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_development_sample.csv,status_interpretation_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_development_sample.csv,building_footprint_match_result,Human-review outcome for the named dataset claim.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen field-level rules in MANUAL_VALIDATION_PROTOCOL.md.,supported; contradicted; inconclusive; not_applicable,"An unsuccessful evidence search is inconclusive, not contradicted."
manual_validation_development_sample.csv,reviewed_activity_class,Evidence-based activity class assigned by the reviewer.,categorical text,,yes,Blank when classification is inconclusive or not applicable.,reviewer-entered,Frozen activity-classification rule.,Dataset activity_class vocabulary.,"Requires cited, manually confirmed evidence."
manual_validation_development_sample.csv,reviewed_activity_stage,Evidence-based procedural stage assigned by the reviewer.,categorical text,,yes,Blank when status is inconclusive or not applicable.,reviewer-entered,Frozen status-interpretation rule.,Dataset activity_stage vocabulary.,Must describe the status at the relevant snapshot date.
manual_validation_development_sample.csv,physical_work_evidence,Reviewer's finding about affirmative evidence of physical work.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Frozen physical-evidence rule.,present; absent; unknown; not_applicable,"Failure to find evidence must be coded unknown, not absent."
manual_validation_development_sample.csv,evidence_source_types,Semicolon-delimited categories of sources manually reviewed.,text,,yes,Blank means not yet reviewed.,reviewer-entered,Acceptable-source list in MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined source categories.,AI output alone is not an evidence source.
manual_validation_development_sample.csv,primary_evidence_url,Public URL for evidence used in the review.,URL,,yes,Blank when unavailable; a stable document reference is required if the primary URL is blank.,reviewer-entered,Manually opened evidence source.,HTTP(S) URL.,Links can change; record access time and document reference when possible.
manual_validation_development_sample.csv,secondary_evidence_url,Optional second public URL used to corroborate the judgment.,URL,,yes,Blank means one evidence source was used.,external evidence,Public-source review.,HTTP(S) URL.,A second URL is not necessarily independent of the first.
manual_validation_development_sample.csv,evidence_document_reference,"Stable document title, identifier, archive reference, or local citation for reviewed evidence.",text,,yes,Blank when the primary evidence URL is sufficient.,reviewer-entered,Recorded during evidence review.,Free text.,Must be specific enough to relocate the evidence.
manual_validation_development_sample.csv,evidence_accessed_at_utc,UTC timestamp for evidence access or review completion.,datetime,UTC,yes,Blank means not yet reviewed.,reviewer-entered,ISO 8601 UTC timestamp.,ISO 8601 timestamp.,Evidence can change after access.
manual_validation_development_sample.csv,ai_assistance_used,Whether AI assisted in locating candidate evidence.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Disclosure required by the protocol.,yes; no,AI assistance does not replace human confirmation.
manual_validation_development_sample.csv,manual_evidence_confirmed,Whether a human opened and confirmed the cited evidence.,categorical text,,yes,Blank means not yet reviewed.,reviewer-entered,Completion gate in scripts/review_metrics.py.,yes; no,Only yes is accepted for a completed review.
manual_validation_development_sample.csv,reviewer_id,Reviewer-entered audit evidence or provenance.,text,,yes,Blank means not yet reviewed or not applicable.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Independent evidence URLs and reviewer provenance are required for completed judgments where specified.
manual_validation_development_sample.csv,reviewed_at_utc,UTC date or timestamp of the evidence review.,datetime,UTC,yes,Blank in the untouched manual sample; populated in completed pilot checks.,reviewer-entered,ISO 8601 UTC value.,ISO 8601 date or timestamp.,Evidence may change later.
manual_validation_development_sample.csv,review_notes,Reviewer-entered audit evidence or provenance.,text,,yes,Blank means not yet reviewed or not applicable.,reviewer-entered,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Independent evidence URLs and reviewer provenance are required for completed judgments where specified.
manual_validation_holdout_sample.csv,audit_sample_id,Identifier or metadata for the manual-validation audit row.,text,,yes,Blank until human review where applicable.,audit workflow,See MANUAL_VALIDATION_PROTOCOL.md.,Protocol-defined.,Not a validation result until completed by a reviewer.
manual_validation_holdout_sample.csv,protocol_version,Frozen validation-protocol version governing the row.,text,,no,Never blank.,validation study design,validation_study.PROTOCOL_VERSION.,Semantic version.,Do not combine results governed by different protocol versions.
manual_validation_holdout_sample.csv,random_seed,Integer seed used for the reproducible pseudo-random draw.,integer,,no,Never blank.,validation study design,validation_study.RANDOM_SEED.,20260823 for protocol 1.0.0.,Changing the seed changes the sample.
manual_validation_holdout_sample.csv,sample_phase,Role of the row in rule development or final evaluation.,categorical text,,no,Never blank.,validation study design,Separate seeded draws.,development; holdout,Do not tune rules using holdout results.
manual_validation_holdout_sample.csv,sampling_stratum,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_holdout_sample.csv,stratum_population,Number of eligible activities in the row's mutually exclusive stratum.,integer,activities,no,Never blank.,derived sampling frame,Count after validation-study stratum assignment.,Positive integer.,Applies to the current release snapshot.
manual_validation_holdout_sample.csv,phase_sample_size,Number drawn from this stratum for the row's phase.,integer,activities,no,Never blank.,validation study design,Frozen phase-stratum quota.,Positive integer.,Use with stratum_population to recover inclusion probability.
manual_validation_holdout_sample.csv,selection_probability,Phase-specific probability of selection within the stratum.,decimal,proportion,no,Never blank.,derived sampling design,phase_sample_size / stratum_population.,Greater than 0 and at most 1.,Use phase-specific probabilities; do not combine phases for final inference.
manual_validation_holdout_sample.csv,sampling_weight,Inverse phase-specific selection probability.,decimal,activities represented,no,Never blank.,derived sampling design,stratum_population / phase_sample_size.,At least 1.,Needed for estimates across disproportionate strata.
manual_validation_holdout_sample.csv,sample_order,Stable display order within the sample phase.,integer,,no,Never blank.,validation workflow,Sequential order after the seeded draw.,Positive integer.,Not a random score and not an analysis weight.
manual_validation_holdout_sample.csv,activity_id,Stable identifier for one normalized activity record; not a guaranteed master-project identifier.,text,,no,Never blank.,derived identifier,SHA-1-derived token from source family and native ID; invalid native IDs are isolated by source object.,tpa-*,Several activities may belong to one real development.
manual_validation_holdout_sample.csv,source_record_id,"Native public record or project identifier supplied by the source, when available.",text,,yes,Blank means the source supplied no usable native identifier.,source,Source-specific record ID field.,Source-defined.,May be reused or missing in source data.
manual_validation_holdout_sample.csv,source_memberships,Semicolon-delimited source layers contributing to the normalized activity.,text,,no,Never blank.,derived,Distinct source names linked by activity_id.,Named source layers separated by semicolons.,Membership does not establish completeness.
manual_validation_holdout_sample.csv,activity_class,"Normalized broad category assigned from source layer, record type, description, and reported square footage.",categorical text,,no,Never blank.,derived,Rules in scripts/build_tampa_development.py.,building_construction; demolition; other_permitted_work; planning_application; historic_preservation_application; public_capital:*; single_family_new_construction_or_addition,Classification has not yet been manually accuracy-tested.
manual_validation_holdout_sample.csv,activity_stage,Normalized procedural stage inferred from official status text and source type.,categorical text,,no,Never blank.,derived,Status keyword rules in classify_stage().,preconstruction_or_unknown; planning_review; permit_or_funding_approved; construction_or_inspection; completed_or_closeout; inactive,A procedural stage does not prove physical completion.
manual_validation_holdout_sample.csv,status,Status text reported by the source at retrieval.,text,,yes,Blank means unavailable.,source,Source-specific status field.,Source-defined.,Status semantics differ across sources.
manual_validation_holdout_sample.csv,physical_work_started_dataset,Dataset's pre-review claim about whether physical work started.,categorical text,,no,Never blank.,derived,Same rules as activity_truth_status.physical_work_started.,yes; no; unknown; not_applicable,"This is the claim under review, not reviewer evidence."
manual_validation_holdout_sample.csv,realization_evidence_grade,Legacy activity-level evidence grade retained for compatibility; use activity_truth_status.verification_grade.,categorical text,,no,Never blank.,derived,Conservative status rules; footprint and closeout signals cannot exceed D.,C; D; P; X; U,This field does not establish completion.
manual_validation_holdout_sample.csv,parcel_match_confidence,Highest configured confidence among City building-footprint matches.,categorical text,,yes,Blank means no match.,derived,Maximum of match_confidence using high > medium.,high; medium,Confidence is rule-based and awaits manual accuracy measurement.
manual_validation_holdout_sample.csv,match_methods,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_holdout_sample.csv,match_distances_m,Sampling or match context included to support manual review.,text,,yes,Blank when not applicable.,derived audit context,Created by create_manual_validation_sample().,Protocol-defined.,Context is not a human judgment.
manual_validation_holdout_sample.csv,address,Site address reported by the source.,text,,yes,Blank means unavailable.,source,ADDRESS or FULLADDRESS.,Source-defined street address.,Public but potentially sensitive; aggregate person-focused analyses.
